2221|I left the window open, so the room got cold.|창문을 열어 둬서 방이 추워졌어.|Daily life|Beginner|Use when explaining why a room suddenly feels cold.
2222|Could you remind me to water the plants tonight?|오늘 밤에 식물에 물 주라고 알려 줄래?|Daily life|Beginner|Use when asking someone to help you remember a small task.
2223|I will sort the laundry after I finish this.|이거 끝내고 빨래를 분류할게.|Daily life|Beginner|Use when putting off a simple chore for a short time.
2224|The drawer is stuck because something is blocking it.|뭔가 걸려 있어서 서랍이 안 열려.|Daily life|Intermediate|Use when explaining why a drawer will not open.
2225|I have been trying to use up the food in the fridge.|냉장고에 있는 음식을 다 먹으려고 하고 있어.|Daily life|Intermediate|Use when talking about reducing food waste at home.
2226|I did not realize how much time had passed.|시간이 그렇게 많이 지난 줄 몰랐어.|Daily life|Intermediate|Use when you are surprised that an activity took so long.
2227|Let us leave a little earlier in case traffic is heavy.|차가 막힐 수도 있으니 조금 일찍 출발하자.|Daily life|Intermediate|Use when suggesting extra travel time as a precaution.
2228|I need a quiet place to clear my head.|생각을 정리할 조용한 곳이 필요해.|Daily life|Intermediate|Use when you need a calm place after a busy day.
2229|The package was delivered to the wrong building.|택배가 다른 건물로 잘못 배달됐어.|Shopping|Beginner|Use when reporting a delivery problem.
2230|Could I exchange this for a different size?|이거 다른 사이즈로 교환할 수 있을까요?|Shopping|Intermediate|Use when asking a store to exchange clothing or another item.
2231|The price includes delivery, right?|배송비가 포함된 가격 맞죠?|Shopping|Beginner|Use when checking whether delivery is included in the listed price.
2232|I am comparing a few options before I decide.|결정하기 전에 몇 가지 선택지를 비교하고 있어.|Shopping|Intermediate|Use when explaining that you are still considering a purchase.
2233|This one looks practical, but it is a little expensive.|이건 실용적으로 보이지만 조금 비싸.|Shopping|Intermediate|Use when weighing usefulness against price.
2234|Do you have anything similar in a darker color?|좀 더 어두운 색으로 비슷한 제품이 있나요?|Shopping|Intermediate|Use when asking for a similar item in another color.
2235|The meeting can start once everyone joins the call.|모두 통화에 들어오면 회의를 시작할 수 있어.|Work|Intermediate|Use when explaining what needs to happen before a meeting starts.
2236|I will send a short summary after the meeting.|회의 후에 간단한 요약을 보낼게.|Work|Beginner|Use when promising to share the main points later.
2237|Could we move this discussion to the afternoon?|이 논의를 오후로 미룰 수 있을까요?|Work|Intermediate|Use when politely requesting a different discussion time.
2238|I need a little more context before I can comment.|의견을 말하려면 상황을 조금 더 알아야 해.|Work|Advanced|Use when you need more background before giving an opinion.
2239|The deadline is still possible, but we need to stay focused.|마감일을 맞출 수는 있지만 집중해서 진행해야 해.|Work|Advanced|Use when a deadline is achievable but requires discipline.
2240|I will flag the main risk in the next update.|다음 업데이트에서 주요 위험 요소를 짚을게.|Work|Advanced|Use when promising to point out an important concern.
2241|I missed the announcement because my notifications were off.|알림을 꺼 둬서 공지를 놓쳤어.|Technology|Intermediate|Use when explaining why you did not see a notification.
2242|The app keeps logging me out.|이 앱은 자꾸 로그아웃돼.|Technology|Beginner|Use when an app repeatedly ends your session.
2243|I backed up the files before changing the settings.|설정을 바꾸기 전에 파일을 백업했어.|Technology|Intermediate|Use when describing a precaution before making a technical change.
2244|The screen is brighter than I expected.|화면이 생각보다 더 밝아.|Technology|Beginner|Use when describing an unexpectedly bright display.
2245|Could you share the link in the group chat?|그 링크를 단체 채팅방에 공유해 줄래?|Technology|Beginner|Use when asking someone to post a link for everyone.
