385|I think the plan looks solid.|그 계획은 꽤 탄탄해 보여.|Opinion|Intermediate|Use when you want to say a plan seems reliable.
386|I prefer tea to coffee.|나는 커피보다 차가 더 좋아.|Opinion|Beginner|Use when you are sharing a simple preference.
387|This feels better than before.|이건 전보다 더 괜찮게 느껴져.|Opinion|Intermediate|Use when something feels improved.
388|It might be better to wait a little longer.|조금 더 기다리는 게 나을지도 몰라.|Opinion|Intermediate|Use when you think waiting may help.
389|I agree with your point.|네 말에 동의해.|Opinion|Intermediate|Use when you want to agree with someone's point.
390|I think the idea is interesting.|그 아이디어는 흥미로운 것 같아.|Opinion|Intermediate|Use when you want to say an idea is interesting.
391|I would rather do it today than tomorrow.|내일보다는 오늘 하는 편이 좋겠어.|Opinion|Intermediate|Use when you prefer today over tomorrow.
392|This feels more interesting than before.|이건 전보다 더 흥미롭게 느껴져.|Opinion|Intermediate|Use when something feels more interesting now.
394|I agree with the layout choice.|그 배치 선택에 동의해.|Opinion|Intermediate|Use when you want to agree with a layout decision.
395|I think the result is surprising.|그 결과는 꽤 의외인 것 같아.|Opinion|Intermediate|Use when the result feels surprising.
437|The subway is crowded at rush hour.|출퇴근 시간에는 지하철이 붐벼.|Travel|Beginner|Use when talking about a crowded subway during rush hour.
440|It is harder to catch a taxi late at night.|늦은 밤에는 택시 잡기가 더 어려워.|Travel|Intermediate|Use when it is difficult to find a taxi late at night.
444|Could you tell me where the port is?|항구가 어디인지 알려주실 수 있나요?|Travel|Intermediate|Use when asking for the location of the port.
446|The plane leaves early in the morning.|비행기가 이른 아침에 출발해.|Travel|Beginner|Use when talking about an early morning flight.
448|The airport was busier than I expected.|공항이 생각보다 더 붐볐어.|Travel|Intermediate|Use when the airport felt busier than expected.
449|The car leaves after lunch.|차가 점심 먹고 출발해.|Travel|Beginner|Use when a car departs after lunch.
450|Could you tell me where the parking lot is?|주차장이 어디인지 알려주실 수 있나요?|Travel|Intermediate|Use when asking for the parking lot.
451|The parking lot was busier than I expected.|주차장이 생각보다 더 붐볐어.|Travel|Intermediate|Use when the parking lot felt busier than expected.
452|The tram leaves this afternoon.|트램이 오늘 오후에 출발해.|Travel|Beginner|Use when talking about a tram leaving this afternoon.
453|Could you tell me where downtown is?|시내가 어디인지 알려주실 수 있나요?|Travel|Intermediate|Use when asking for the downtown area.
465|Are you free this evening?|오늘 저녁 시간 괜찮아?|Social|Beginner|Use when asking if someone is free in the evening.
466|I had a great time talking with you at the cafe.|카페에서 이야기 나눠서 정말 좋았어.|Social|Intermediate|Use when you enjoyed talking with someone at a cafe.
468|Let's meet at the restaurant after work.|퇴근 후에 식당에서 만나자.|Social|Beginner|Use when suggesting a meeting after work.
469|Are you free after work?|퇴근 후 시간 괜찮아?|Social|Beginner|Use when asking if someone is free after work.
470|I had a great time talking with you at the restaurant.|식당에서 이야기 나눠서 정말 좋았어.|Social|Intermediate|Use when you enjoyed talking with someone at a restaurant.
472|Let's meet at the park this weekend.|이번 주말에 공원에서 만나자.|Social|Beginner|Use when suggesting a weekend meeting at the park.
474|I had a great time talking with you at the park.|공원에서 이야기 나눠서 정말 좋았어.|Social|Intermediate|Use when you enjoyed talking with someone at the park.
477|Are you free tomorrow?|내일 시간 괜찮아?|Social|Beginner|Use when asking if someone is free tomorrow.
478|I had a great time talking with you at the library.|도서관에서 이야기 나눠서 정말 좋았어.|Social|Intermediate|Use when you enjoyed talking with someone at the library.
480|Let's meet at the museum on Saturday.|토요일에 박물관에서 만나자.|Social|Beginner|Use when suggesting a meeting at the museum on Saturday.
481|Are you free on Saturday?|토요일 시간 괜찮아?|Social|Beginner|Use when asking if someone is free on Saturday.
482|I had a great time talking with you at the museum.|박물관에서 이야기 나눠서 정말 좋았어.|Social|Intermediate|Use when you enjoyed talking with someone at the museum.
484|Let's meet at the mall this afternoon.|오늘 오후에 쇼핑몰에서 만나자.|Social|Beginner|Use when suggesting a meeting at the mall this afternoon.
486|I had a great time talking with you at the mall.|쇼핑몰에서 이야기 나눠서 정말 좋았어.|Social|Intermediate|Use when you enjoyed talking with someone at the mall.
488|Let's meet at the rooftop around sunset.|해 질 무렵에 옥상에서 만나자.|Social|Intermediate|Use when suggesting a rooftop meeting around sunset.
489|Are you free around sunset?|해 질 무렵 시간 괜찮아?|Social|Intermediate|Use when asking if someone is free around sunset.
