12|The meeting has been moved to Thursday at 3:30.|회의가 목요일 3시 30분으로 옮겨졌어.|Work|Intermediate|Use when a meeting time changes.
84|The weather looks perfect for a short bike ride.|자전거 타기 딱 좋은 날씨야.|Daily life|Beginner|Use when the weather feels ideal for a short ride.
393|It might be better to test a different option.|다른 선택지를 먼저 시험해 보는 게 더 나을지도 몰라.|Opinion|Advanced|Use when you want to suggest trying another option.
394|I agree with the layout choice.|그 배치 선택에 동의해.|Opinion|Beginner|Use when you want to agree with a layout choice.
399|I agree with the pacing.|그 진행 속도에 동의해.|Opinion|Advanced|Use when you want to agree with the pacing.
404|I agree with the proposed change.|제안한 변경에 동의해.|Opinion|Intermediate|Use when you support a proposed change.
409|I agree with the smaller scope.|더 작은 범위에 동의해.|Opinion|Beginner|Use when you prefer a smaller scope.
414|I agree with the wording here.|여기 표현에 동의해.|Opinion|Advanced|Use when you agree with the wording.
419|I agree with the logic here.|여기 논리에는 동의해.|Opinion|Beginner|Use when you agree with the logic.
423|It might be better to pause before acting.|바로 움직이기 전에 잠깐 멈추는 게 더 나을지도 몰라.|Opinion|Beginner|Use when you think a pause is wiser.
424|I agree with the overall direction.|전체 방향에는 동의해.|Opinion|Intermediate|Use when you agree with the overall direction.
429|I agree with the risk assessment.|위험 평가에 동의해.|Opinion|Intermediate|Use when you agree with the risk assessment.
471|It was nice seeing you after the workshop.|워크숍 끝나고 만나서 반가웠어요.|Social|Intermediate|Use when ending a conversation after an event.
475|Take care and let me know how it goes.|잘 지내고 어떻게 되는지 알려 줘요.|Social|Advanced|Use when saying goodbye and staying connected.
479|Thanks for making time to chat.|시간 내서 이야기해 줘서 고마워요.|Social|Beginner|Use when thanking someone for a chat.
483|I enjoyed our conversation today.|오늘 대화가 즐거웠어요.|Social|Intermediate|Use when a conversation went well.
487|I should let you get back to work.|이제 다시 일하셔야겠네요.|Social|Advanced|Use when politely ending a conversation.
491|Have a smooth rest of the afternoon.|오후 남은 시간도 잘 보내세요.|Social|Advanced|Use when offering a friendly closing.
495|It was great seeing you again today.|오늘 다시 만나서 정말 반가웠어요.|Social|Advanced|Use when you meet someone again.
499|Thanks for talking things through with me.|함께 차근차근 이야기해 줘서 고마워요.|Social|Beginner|Use when thanking someone for discussing details.
793|The meeting has been moved to Friday at 9:00.|회의가 금요일 9시로 옮겨졌어.|Work|Intermediate|Use when a meeting time changes.
1021|I’m sorting receipts for tax time.|세금 준비하려고 영수증을 정리하고 있어.|Daily life|Intermediate|Use when you are organizing receipts.
1022|I need to label these boxes.|이 상자들에 라벨을 붙여야 해.|Daily life|Beginner|Use when you need to mark boxes.
1023|The dryer stopped halfway through.|건조기가 중간에 멈췄어.|Daily life|Intermediate|Use when an appliance stops working.
1024|I need to replace the lightbulb.|전구를 갈아야 해.|Daily life|Beginner|Use when a bulb needs replacing.
1025|I’m taping the box shut.|상자를 테이프로 닫고 있어.|Daily life|Beginner|Use when you are sealing a box.
1026|I forgot to bring my headphones.|이어폰을 안 가져왔어.|Daily life|Beginner|Use when you realize you forgot your headphones.
1027|The freezer door is stuck again.|냉동실 문이 또 안 열려.|Daily life|Intermediate|Use when the freezer door is stuck.
1028|I left my keys on the table.|열쇠를 테이블 위에 두고 왔어.|Daily life|Beginner|Use when you realize you left your keys somewhere.
1029|I’m moving the laundry basket.|빨래 바구니를 옮기고 있어.|Daily life|Beginner|Use when you are moving a laundry basket.
1030|I’m watering the basil.|바질에 물을 주고 있어.|Daily life|Beginner|Use when you are caring for a plant.
1031|The kitchen timer is still running.|주방 타이머가 아직 돌아가고 있어.|Daily life|Beginner|Use when a timer has not been turned off.
1032|I need to wipe the desk first.|먼저 책상을 닦아야 해.|Daily life|Beginner|Use when you need to clean a desk.
1033|I’m clearing space on the shelf.|선반 위 공간을 비우고 있어.|Daily life|Intermediate|Use when you are making room on a shelf.
1034|I need to wash the travel mug.|텀블러를 씻어야 해.|Daily life|Beginner|Use when a travel mug needs cleaning.
1035|I’m charging the spare battery.|예비 배터리를 충전하고 있어.|Daily life|Intermediate|Use when you are preparing a backup battery.
1036|I need to restock the paper towels.|종이타월을 다시 채워야 해.|Daily life|Intermediate|Use when supplies are running low.
1037|The hallway light is flickering.|복도 불이 깜빡거리고 있어.|Daily life|Intermediate|Use when a light is unstable.
1038|I’m folding the clean towels.|깨끗한 수건을 개고 있어.|Daily life|Beginner|Use when you are putting away towels.
1039|I need to sweep the entryway.|현관을 쓸어야 해.|Daily life|Beginner|Use when you need to clean the entrance.
